epoch,capsnet_acc,capsnet_loss,decoder_loss,loss,val_capsnet_acc,val_capsnet_loss,val_decoder_loss,val_loss
0,0.489267677069,0.441557978365,0.0815984278663,0.47354456105,0.469451374024,0.404835832164,0.00427841842279,0.406512969078
1,0.465561227227,0.404657330592,0.00394753756581,0.406204767449,0.469451374024,0.4042434844,0.00365139029751,0.405674828927
2,0.471301021092,0.403863372015,0.00373592520874,0.405327856237,0.469451374024,0.402801166672,0.00366190344704,0.404236631203
3,0.477678571048,0.38670699344,0.0042565230355,0.388375551269,0.405236907415,0.386314441587,0.00412191920496,0.387930234769
4,0.463647960476,0.324491911359,0.00418063753275,0.32613072111,0.611596012056,0.215646660164,0.00440599993882,0.217373812585
5,0.607142858967,0.219594324578,0.00432992203289,0.221291654078,0.648379046721,0.248463329011,0.00429841247968,0.250148307058
6,0.676020405882,0.191019678526,0.0042505158867,0.192685880603,0.720698257263,0.167089002128,0.00417553931602,0.168725813639
7,0.73214285547,0.163796502527,0.00412427908883,0.165413218246,0.761221945286,0.149996263019,0.00413350034168,0.151616594608
8,0.782525511725,0.138741190051,0.00425870062983,0.140410600135,0.761845384007,0.164114762534,0.00408275696354,0.165715202671
9,0.787627553605,0.140875276311,0.00416136169818,0.142506529482,0.824812968473,0.114839675383,0.00396263486,0.116393027274
